name,ztime,node,value
node_load1,2020-02-27 22:44:42,192.168.228.12,4.43
node_load1,2020-02-27 22:44:27,192.168.228.12,4.74
node_load1,2020-02-27 22:44:12,192.168.228.12,4.13
node_load1,2020-02-27 22:43:57,192.168.228.12,4.19
node_load1,2020-02-27 22:43:42,192.168.228.12,4.77
node_load1,2020-02-27 22:43:12,192.168.228.12,4.24
node_load1,2020-02-27 22:42:57,192.168.228.12,4.42
node_load1,2020-02-27 22:42:42,192.168.228.12,4.94
node_load1,2020-02-27 22:42:27,192.168.228.12,5.08
node_load1,2020-02-27 22:42:12,192.168.228.12,4.97
node_load1,2020-02-27 22:41:57,192.168.228.12,5.25
node_load1,2020-02-27 22:41:42,192.168.228.12,5.16
node_load1,2020-02-27 22:41:27,192.168.228.12,5.05
node_load1,2020-02-27 22:41:12,192.168.228.12,5.51
node_load1,2020-02-27 22:40:57,192.168.228.12,4.46
node_load1,2020-02-27 22:40:27,192.168.228.12,5.14
node_load1,2020-02-27 22:40:12,192.168.228.12,3.88
node_load1,2020-02-27 22:39:57,192.168.228.12,3.91
node_load1,2020-02-27 22:39:42,192.168.228.12,4.93
node_load1,2020-02-27 22:39:27,192.168.228.12,3.8
node_load1,2020-02-27 22:39:12,192.168.228.12,4.51
node_load1,2020-02-27 22:38:57,192.168.228.12,4.08
node_load1,2020-02-27 22:38:42,192.168.228.12,4.43
node_load1,2020-02-27 22:38:27,192.168.228.12,4.54
node_load1,2020-02-27 22:38:12,192.168.228.12,3.86
node_load1,2020-02-27 22:37:57,192.168.228.12,4.17
node_load1,2020-02-27 22:37:42,192.168.228.12,5.08
node_load1,2020-02-27 22:37:27,192.168.228.12,4.28
node_load1,2020-02-27 22:37:12,192.168.228.12,4.09
node_load1,2020-02-27 22:36:42,192.168.228.12,3.72
node_load1,2020-02-27 22:36:27,192.168.228.12,4.12
node_load1,2020-02-27 22:36:12,192.168.228.12,4.74
node_load1,2020-02-27 22:35:57,192.168.228.12,6.09
node_load1,2020-02-27 22:35:42,192.168.228.12,5.2
node_load1,2020-02-27 22:35:27,192.168.228.12,4.21
node_load1,2020-02-27 22:35:12,192.168.228.12,4.58
node_load1,2020-02-27 22:34:57,192.168.228.12,4.46
node_load1,2020-02-27 22:34:42,192.168.228.12,4.98
node_load1,2020-02-27 22:34:27,192.168.228.12,6.3
node_load1,2020-02-27 22:34:12,192.168.228.12,6.96
node_load1,2020-02-27 22:33:57,192.168.228.12,6.79
node_load1,2020-02-27 22:33:42,192.168.228.12,6.36
node_load1,2020-02-27 22:33:27,192.168.228.12,4.45
node_load1,2020-02-27 22:32:57,192.168.228.12,3.26
node_load1,2020-02-27 22:32:42,192.168.228.12,3.31
node_load1,2020-02-27 22:32:27,192.168.228.12,3.8
node_load1,2020-02-27 22:32:12,192.168.228.12,4.5
node_load1,2020-02-27 22:31:57,192.168.228.12,3.27
node_load1,2020-02-27 22:31:42,192.168.228.12,4.01
node_load1,2020-02-27 22:31:12,192.168.228.12,4.44
node_load1,2020-02-27 22:30:57,192.168.228.12,4.44
node_load1,2020-02-27 22:30:42,192.168.228.12,5.18
node_load1,2020-02-27 22:30:27,192.168.228.12,5.68
node_load1,2020-02-27 22:29:57,192.168.228.12,6.36
node_load1,2020-02-27 22:29:42,192.168.228.12,7.14
node_load1,2020-02-27 22:29:27,192.168.228.12,6.41
node_load1,2020-02-27 22:29:12,192.168.228.12,7.19
node_load1,2020-02-27 22:28:57,192.168.228.12,7.73
node_load1,2020-02-27 22:28:42,192.168.228.12,8.34
node_load1,2020-02-27 22:28:27,192.168.228.12,8.94
node_load1,2020-02-27 22:28:12,192.168.228.12,9.1
node_load1,2020-02-27 22:27:57,192.168.228.12,9.99
node_load1,2020-02-27 22:27:42,192.168.228.12,11.06
node_load1,2020-02-27 22:27:27,192.168.228.12,11.46
node_load1,2020-02-27 22:27:12,192.168.228.12,11.21
node_load1,2020-02-27 22:26:57,192.168.228.12,10.46
node_load1,2020-02-27 22:26:42,192.168.228.12,9.63
node_load1,2020-02-27 22:25:57,192.168.228.12,7.43
node_load1,2020-02-27 22:25:42,192.168.228.12,7.07
node_load1,2020-02-27 22:25:27,192.168.228.12,6.5
node_load1,2020-02-27 22:25:12,192.168.228.12,7.2
node_load1,2020-02-27 22:24:57,192.168.228.12,6.52
node_load1,2020-02-27 22:24:42,192.168.228.12,6.07
node_load1,2020-02-27 22:24:27,192.168.228.12,6.74
node_load1,2020-02-27 22:24:12,192.168.228.12,6.54
node_load1,2020-02-27 22:23:42,192.168.228.12,7.08
node_load1,2020-02-27 22:23:27,192.168.228.12,8.31
node_load1,2020-02-27 22:23:12,192.168.228.12,8.03
node_load1,2020-02-27 22:22:57,192.168.228.12,6.41
node_load1,2020-02-27 22:22:42,192.168.228.12,6.6
node_load1,2020-02-27 22:22:27,192.168.228.12,6.93
node_load1,2020-02-27 22:22:12,192.168.228.12,7.66
